SUBSEKTOR,ASET,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
TRANSPORTASI,BANDARA,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000
TELEKOMUNIKASI,BTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENERGI,SPBU,20000000,20000000,20000000,20000000,60000000,60000000,60000000,60000000,100000000,100000000,100000000,100000000,160000000,160000000,160000000,160000000
ENERGI,GARDU PLN,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000,3437500000
AIR BERSIH DAN SANITASI,INSTALASI PDAM,5000000,25000000,50000000,10000000,10000000,50000000,100000000,20000000,25000000,100000000,250000000,50000000,50000000,250000000,500000000,100000000
AIR BERSIH DAN SANITASI,MCK,5000000,20000000,50000000,5000000,10000000,40000000,75000000,20000000,15000000,60000000,100000000,50000000,20000000,80000000,150000000,75000000
AIR BERSIH DAN SANITASI,POMPA AIR,1000000,5000000,10000000,5000000,5000000,10000000,50000000,10000000,10000000,25000000,75000000,25000000,15000000,50000000,100000000,50000000
AIR BERSIH DAN SANITASI,TANGGUL AIR,1000000,2000000,5000000,10000000,5000000,10000000,25000000,50000000,10000000,25000000,50000000,100000000,25000000,50000000,250000000,500000000
PEMERINTAHAN,FASILITAS KEPOLISIAN,7437500,11156250,14875000,7437500,11156250,14875000,18593750,11156250,14875000,18593750,22312500,14875000,18593750,22312500,26031250,18593750
PEMERINTAHAN,FASILITAS PEMERINTAHAN,34097356.88,51146035.31,68194713.75,34097356.88,51146035.31,68194713.75,85243392.19,51146035.31,68194713.75,85243392.19,102292070.6,68194713.75,85243392.19,102292070.6,119340749.1,85243392.19
PEMERINTAHAN,FASILITAS MILITER,105000000,157500000,210000000,105000000,157500000,210000000,262500000,157500000,210000000,262500000,315000000,210000000,262500000,315000000,367500000,262500000
PEMERINTAHAN,RUMAH DINAS,525000000,787500000,1050000000,525000000,787500000,1050000000,1312500000,787500000,1050000000,1312500000,1575000000,1050000000,1312500000,1575000000,1837500000,1312500000
LINGKUNGAN,TAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

LINGKUNGAN,KEBERSIHAN,50000,50000,50000,50000,200000,200000,200000,200000,400000,400000,400000,400000,700000,700000,700000,700000
AGAMA,MASJID,5250000,10500000,10500000,5250000,7875000,10500000,13125000,7875000,10500000,13125000,15750000,10500000,13125000,15750000,18375000,0
AGAMA,GEREJA,5250000,10500000,10500000,5250000,7875000,10500000,13125000,7875000,10500000,13125000,15750000,10500000,13125000,15750000,18375000,0
AGAMA,VIHARA,3500000,7000000,7000000,3500000,5250000,7000000,8750000,5250000,7000000,8750000,10500000,7000000,8750000,10500000,12250000,0
